title,author,num_chap,cleaned,plot_structure,pub_year,num_claims,genres,num_tokens,Notes,book_name
Lovely Bones,Alice Sebold,20,True,,2002,,"Psychological Fiction, Domestic Fiction",,,sebold
Little Fires Everywhere,Celeste Ng,20,True,,2017,,Domestic Fiction,,,ng
The Overdue Life of Amy Byler,Kelly Harms,20,True,,2019,,"Romance novel, Chick lit, Humorous Fiction, Domestic Fiction",,,harms
Crying in H-Mart,Michelle Zauner,20,True,,2021,,"Biography, Autobiography, Cookbook",,,zauner
The Picture of Dorian Gray,Oscar Wilde,20,True,,1890,,Gothic fiction,,,wilde
Horror Movie,Paul Tremblay,20,True,,2024,,Horror,,,tremblay
The Bell Jar,Sylvia Plath,20,True,,1963,,"Psychological Fiction, Domestic Fiction",,,plath
Their Eyes Were Watching God,Zora Neale Hurston,20,True,,1937,,Psychological Fiction,,,hurston
Tom Lake,Ann Patchett,21,True,,2023,,Literary Fiction,,,patchett
Big Swiss,Jen Beagin,21,True,,2023,,Humorous Fiction,,,beagin
The Hunter,Tana French,21,True,,2024,,Crime; Mystery; Thriller,,,french
The Adult,Bronwyn Fischer,22,True,,2023,,"Coming-of-age story, Lesbian literature, Bildungsroman, LGBT literature, Gay Fiction",,,fischer
Wild Egg,Jennifer Flint,22,True,,2022,,Fiction,,,flint
The Consuming Fire,John Scalzi,22,True,,2018,,"Science Fiction, Space",,,scalzi
A Very Nice Girl,Imogen Crimp,23,True,,2022,,"Romance novel, Coming-of-age story, Thriller, Psychological Fiction, Urban fiction",,,crimp
What Wild Women Do,Karma Brown ,23,True,,2023,,"Historical mystery, Domestic Fiction",,,brown
Never Let Me Go,Kazuo Ishiguro,23,True,,2005,,Science Fiction,,,ishiguro
The Fifth Season,N. K. Jemisin,23,True,,2015,,"Science fiction, Fantasy Fiction, High fantasy, Science fantasy",,,jemisin
The Chosen and The Beautiful,Nghi Vo,23,True,,2021,,"Coming-of-age story, Lesbian literature, Bildungsroman, LGBT literature, Gay Fiction",,,vo
Tuff,Paul Beatty,23,True,,2000,,Urban fiction,,,beatty
She Who Became the Sun,Shelley Parker-Chan,23,True,,2021,,"Fantasy Fiction, Historical fantasy, Historical Fiction, Fairy tale, Alternate history",,,chan
The Sympathizer,Viet Thanh Nguyen,23,True,,2015,,"Thriller, Spy fiction, Historical Fiction, War story",,,nguyen
And Then He Sang a Lullaby,Ani Kayode Somtochukwu,24,True,Non-linear,2023,,"Fiction, LGBT",96000.0,,somtochukwu
Clockwork Princess,Cassandra Clare,24,True,,2013,,"Fantasy, Young Adult, Romance, Paranormal",,,clare
Flowerheart,Catherine Bakewell,24,True,,2023,,"Young adult literature, Fantasy Fiction, Romance novel",,,bakewell
This Time Tomorrow,Emma Straub,64,True,,2022,,"Science fiction, Time Travel Fiction, Humorous Fiction, Domestic Fiction",,,straub
Nineteen Eighty-Four,George Orwell,24,True,,1949,,Dystopian,,,orwell
